source_table,source_field,source_code,target_table,target_field,target_code,target_desc,target_domain
pipes,Material,PVC,SewerStormwater_Segments,PIPE_MATL,PVC,,domain_trww_pipe_material
pipes,Material,RCP,SewerStormwater_Segments,PIPE_MATL,RCP,,domain_trww_pipe_material
pipes,Material,RPM,SewerStormwater_Segments,PIPE_MATL,RPM,,domain_trww_pipe_material
pipes,Material,SP,SewerStormwater_Segments,PIPE_MATL,SP,,domain_trww_pipe_material
pipes,Material,VCP,SewerStormwater_Segments,PIPE_MATL,VCP,,domain_trww_pipe_material
pipes,Owner, ,SewerStormwater_Segments,OWNER_NAME,,,domain_trww_owners
pipes,Owner,ACSA,SewerStormwater_Segments,OWNER_NAME,ACSA,,domain_trww_owners
pipes,Owner,ACSA/PWSA,SewerStormwater_Segments,OWNER_NAME,ACSA/ PWSA,,domain_trww_owners
pipes,Owner,Allegheny County,SewerStormwater_Segments,OWNER_NAME,ALCO,,domain_trww_owners
pipes,Owner,Allegheny County Port Authority,SewerStormwater_Segments,OWNER_NAME,ACPA,,domain_trww_owners
pipes,Owner,Allegheny General Hospital,SewerStormwater_Segments,OWNER_NAME,PINT-AGH,,domain_trww_owners
pipes,Owner,Aspinwall,SewerStormwater_Segments,OWNER_NAME,ASPI,,domain_trww_owners
pipes,Owner,Baldwin Borough,SewerStormwater_Segments,OWNER_NAME,BALB,,domain_trww_owners
pipes,Owner,Baldwin Township,SewerStormwater_Segments,OWNER_NAME,BALT,,domain_trww_owners
pipes,Owner,Bellevue and Ross,SewerStormwater_Segments,OWNER_NAME,BELL-ROSS,,domain_trww_owners
pipes,Owner,Bellevue Borough,SewerStormwater_Segments,OWNER_NAME,BELL,,domain_trww_owners
pipes,Owner,Bellevue Ross PWSA ALCOSAN,SewerStormwater_Segments,OWNER_NAME,,,domain_trww_owners
pipes,Owner,Borough of Ingram,SewerStormwater_Segments,OWNER_NAME,INGR,,domain_trww_owners
pipes,Owner,Crafton Borough,SewerStormwater_Segments,OWNER_NAME,CRAF,,domain_trww_owners
pipes,Owner,CSX Railroad,SewerStormwater_Segments,OWNER_NAME,RAIL-CSX,,domain_trww_owners
pipes,Owner,Dormont Borough,SewerStormwater_Segments,OWNER_NAME,DORM,,domain_trww_owners
pipes,Owner,DPW,SewerStormwater_Segments,OWNER_NAME,PITT,,domain_trww_owners
pipes,Owner,Edgewood Borough,SewerStormwater_Segments,OWNER_NAME,EDGE,,domain_trww_owners
pipes,Owner,Etna Borough,SewerStormwater_Segments,OWNER_NAME,ETNA,,domain_trww_owners
pipes,Owner,Fox Chapel,SewerStormwater_Segments,OWNER_NAME,FCHA,,domain_trww_owners
pipes,Owner,Green Tree Borough,SewerStormwater_Segments,OWNER_NAME,GTRE,,domain_trww_owners
pipes,Owner,Housing Authority of Pittsburgh,SewerStormwater_Segments,OWNER_NAME,HAPI,,domain_trww_owners
pipes,Owner,J&L Steel,SewerStormwater_Segments,OWNER_NAME,PIND-JLST,,domain_trww_owners
pipes,Owner,Lincoln Property Company,SewerStormwater_Segments,OWNER_NAME,PCOM-LPCO,,domain_trww_owners
