source_field,target_field,source_code,target_code,target_desc
REL_GRADE,REL_GRADE,Level,Level,Level
REL_GRADE,REL_GRADE,,,
SEWERTYPE,SEWERTYPE, ,,
SEWERTYPE,SEWERTYPE,COM,COM,combined
SEWERTYPE,SEWERTYPE,FM,FM,force
SEWERTYPE,SEWERTYPE,SAN,SAN,sanitary
SEWERTYPE,SEWERTYPE,Separate Sanitary,SAN,sanitary
SEWERTYPE,SEWERTYPE,SS,SS,separate
SEWERTYPE,SEWERTYPE,STM,STM,stormwater
SEWERTYPE,SEWERTYPE,0,UK,Unknown
SEWERTYPE,SEWERTYPE,UNK,UK,Unknown
SEWERTYPE,SEWERTYPE,,,
SRC_AREA,SRC_AREA,Cecil,CECL,Cecil Township
SRC_AREA,SRC_AREA,,,
SRC_AREA,SRC_AREA,Aspinwall,ASPI,Aspinwall Borough
SRC_AREA,SRC_AREA,Avalon,AVAL,Avalon Borough
SRC_AREA,SRC_AREA,BaldwinBoro,BALB,Baldwin Borough
SRC_AREA,SRC_AREA,BaldwinTwp,BALT,Baldwin Township
SRC_AREA,SRC_AREA,BenAvon,BAVH,Ben Avon Heights Borough
SRC_AREA,SRC_AREA,BenAvonHts,BAVH,Ben Avon Heights Borough
SRC_AREA,SRC_AREA,Bellevue,BELL,Bellevue Borough
SRC_AREA,SRC_AREA,BethelPark,BETH,Bethel Park Municipality
SRC_AREA,SRC_AREA,BraddockHills,BHIL,Braddock Hills Borough
SRC_AREA,SRC_AREA,Blawnox,BLAW,Blawnox Borough
SRC_AREA,SRC_AREA,BraddockBoro,BRAD,Braddock Borough
SRC_AREA,SRC_AREA,Brentwood,BREN,Brentwood Borough
SRC_AREA,SRC_AREA,Bridgeville,BRID,Bridgeville Borough
SRC_AREA,SRC_AREA,Carnegie,CARN,Carnegie Borough
SRC_AREA,SRC_AREA,Chalfant,CHAL,Chalfant Borough
SRC_AREA,SRC_AREA,Churchill,CHUR,Churchill Borough
SRC_AREA,SRC_AREA,Collier,COLL,Collier Township
SRC_AREA,SRC_AREA,Crafton,CRAF,Crafton Borough
SRC_AREA,SRC_AREA,CastleShannon,CSHA,Castle Shannon Borough
SRC_AREA,SRC_AREA,Dormont,DORM,Dormont Borough
SRC_AREA,SRC_AREA,Edgewood,EDGE,Edgewood Borough
SRC_AREA,SRC_AREA,EastMcKeesport,EMCK,East McKeesport Borough
SRC_AREA,SRC_AREA,Emsworth,EMSW,Emsworth Borough
SRC_AREA,SRC_AREA,EastPittsburgh,EPIT,East Pittsburgh Borough
SRC_AREA,SRC_AREA,Etna,ETNA,Etna Borough
SRC_AREA,SRC_AREA,FoxChapel,FCHA,Fox Chapel Borough
SRC_AREA,SRC_AREA,ForestHills,FHIL,Forest Hills Borough
SRC_AREA,SRC_AREA,GirtysRun-McCandless,GRJS-MCCA,GirtysRun-McCandless
SRC_AREA,SRC_AREA,GirtysRun-Millvale,GRJS-MILL,GirtysRun-Millvale
SRC_AREA,SRC_AREA,GirtysRun-pwsa,GRJS-PWSA,GirtysRun-PWSA
SRC_AREA,SRC_AREA,GirtysRun-Reserve,GRJS-RESE,GirtysRun-Reserve
SRC_AREA,SRC_AREA,GirtysRun-Ross,GRJS-ROSS,GirtysRun-Ross
SRC_AREA,SRC_AREA,GirtysRun-Shaler,GRJS-SHAL,GirtysRun-Shaler
SRC_AREA,SRC_AREA,Greentree,GTRE,Green Tree Borough
SRC_AREA,SRC_AREA,Heidelberg,HEID,Heidelberg Borough
SRC_AREA,SRC_AREA,Homestead,HOMS,Homestead Borough
SRC_AREA,SRC_AREA,Indiana,INDI,Indiana Township
SRC_AREA,SRC_AREA,Ingram,INGR,Ingram Borough
SRC_AREA,SRC_AREA,Kennedy,KENN,Kennedy Township
SRC_AREA,SRC_AREA,Kilbuck,KILB,Kilbuck Township
SRC_AREA,SRC_AREA,McDonald,MCDO,McDonald Borough
SRC_AREA,SRC_AREA,McDonaldWashington,MCDO-WASH,McDonald-Washington
SRC_AREA,SRC_AREA,Millvale,MILL,Millvale Borough
SRC_AREA,SRC_AREA,MtLebanon,MLEB,Mount Lebanon Municipality
SRC_AREA,SRC_AREA,MtOliver,MOLI,Mount Oliver Borough
SRC_AREA,SRC_AREA,Monroeville,MONR,Monroeville Municipality
SRC_AREA,SRC_AREA,McKeesRocks,MROC,McKees Rocks Borough
SRC_AREA,SRC_AREA,Murrysville,MRVL,Murrysville
SRC_AREA,SRC_AREA,MTSA-FranklinPark,MTSA-FRPK,MTSA-FranklinPark
SRC_AREA,SRC_AREA,MTSA-McCandless,MTSA-MCCA,MTSA-McCandless
SRC_AREA,SRC_AREA,Munhall,MUNH,Munhall Borough
SRC_AREA,SRC_AREA,NorthBraddock,NBRA,North Braddock Borough
SRC_AREA,SRC_AREA,Neville,NEVI,Neville Township
SRC_AREA,SRC_AREA,NorthFayette,NFAY,North Fayette Township
SRC_AREA,SRC_AREA,NorthHuntingdon,NHUN,North Huntingdon Township
SRC_AREA,SRC_AREA,NorthVersailles,NVER,North Versailles Township
SRC_AREA,SRC_AREA,Oakdale,OAKD,Oakdale Borough
SRC_AREA,SRC_AREA,Ohara,OHAR,O'Hara Township
SRC_AREA,SRC_AREA,Ohio,OHIO,Ohio Township
SRC_AREA,SRC_AREA,PennHills,PENH,Penn Hills Municipality
SRC_AREA,SRC_AREA,Peters,PETE,Peters Township
SRC_AREA,SRC_AREA,PleasantHills,PHIL,Pleasant Hills Borough
SRC_AREA,SRC_AREA,Pitcairn,PITC,Pitcairn Borough
SRC_AREA,SRC_AREA,Plum,PLUM,Plum Borough
SRC_AREA,SRC_AREA,PennTwp,PTWP,Penn Township
SRC_AREA,SRC_AREA,PWSA,PWSA,Pittsburgh Water and Sewer Authority
SRC_AREA,SRC_AREA,Rankin,RANK,Rankin Borough
SRC_AREA,SRC_AREA,Reserve,RESE,Reserve Township
SRC_AREA,SRC_AREA,RosslynFarms,RFAR,Rosslyn Farms Borough
SRC_AREA,SRC_AREA,Robinson,ROBI,Robinson Township
SRC_AREA,SRC_AREA,Ross,ROSS,Ross Township
SRC_AREA,SRC_AREA,Scott,SCOT,Scott Township
SRC_AREA,SRC_AREA,SouthFayette,SFAY,South Fayette Township
SRC_AREA,SRC_AREA,Shaler,SHAL,Shaler Township
SRC_AREA,SRC_AREA,Sharpsburg,SHAR,Sharpsburg Borough
SRC_AREA,SRC_AREA,Stowe,STOW,Stowe Township
SRC_AREA,SRC_AREA,Swissvale,SWIS,Swissvale Borough
SRC_AREA,SRC_AREA,TurtleCreek,TCRE,Turtle Creek Borough
SRC_AREA,SRC_AREA,Thornburg,THOR,Thornburg Borough
SRC_AREA,SRC_AREA,Trafford,TRAF,Trafford Borough
SRC_AREA,SRC_AREA,UpperStClair,USCL,Upper St. Clair Township
SRC_AREA,SRC_AREA,Verona,VERO,Verona Borough
SRC_AREA,SRC_AREA,Wall,WALL,Wall Borough
SRC_AREA,SRC_AREA,Whitehall,WHAL,Whitehall Borough
SRC_AREA,SRC_AREA,Whitaker,WHIT,Whitaker Borough
